_id,Country,Response_measure,date_start,date_end
89,Belgium,ClosPrimPartial,2020-05-18T00:00:00,6/8/2020
90,Belgium,ClosPubAny,2020-03-13T00:00:00,5/3/2020
91,Belgium,ClosPubAnyPartial,2020-05-04T00:00:00,NA
92,Belgium,ClosSec,2020-03-13T00:00:00,5/17/2020
93,Belgium,ClosSec,2020-11-12T00:00:00,11/15/2020
94,Belgium,ClosSec,2021-03-29T00:00:00,4/18/2021
95,Belgium,ClosSecPartial,2020-05-18T00:00:00,8/28/2020
96,Belgium,EntertainmentVenues,2020-03-13T00:00:00,5/17/2020
97,Belgium,EntertainmentVenues,2020-11-02T00:00:00,4/12/2021
98,Belgium,EntertainmentVenuesPartial,2020-05-18T00:00:00,11/1/2020
99,Belgium,EntertainmentVenuesPartial,2021-04-13T00:00:00,10/1/2021
100,Belgium,GymsSportsCentres,2020-03-13T00:00:00,5/3/2020
101,Belgium,GymsSportsCentresPartial,2020-05-04T00:00:00,7/1/2020
102,Belgium,GymsSportsCentresPartial,2020-11-02T00:00:00,NA
103,Belgium,IndoorOver1000,2020-03-10T00:00:00,3/17/2020
104,Belgium,IndoorOver500,2020-07-01T00:00:00,11/1/2020
105,Belgium,IndoorOver500,2021-10-28T00:00:00,NA
106,Belgium,MasksMandatoryAllSpacesPartial,2020-05-04T00:00:00,NA
107,Belgium,MasksVoluntaryAllSpaces,2020-05-04T00:00:00,7/10/2020
108,Belgium,MassGather50,2020-11-02T00:00:00,3/7/2021
109,Belgium,MassGather50Partial,2021-05-01T00:00:00,6/8/2021
110,Belgium,MassGatherAll,2020-03-10T00:00:00,3/17/2020
111,Belgium,MassGatherAll,2020-07-01T00:00:00,10/18/2020
112,Belgium,MassGatherAll,2020-11-02T00:00:00,3/7/2021
113,Belgium,MassGatherAll,2021-10-28T00:00:00,NA
114,Belgium,MassGatherAllPartial,2020-10-19T00:00:00,11/1/2020
115,Belgium,MassGatherAllPartial,2021-05-01T00:00:00,6/8/2021
116,Belgium,NonEssentialShops,2020-03-13T00:00:00,5/3/2020
117,Belgium,NonEssentialShops,2020-11-02T00:00:00,11/30/2020
118,Belgium,NonEssentialShopsPartial,2020-05-04T00:00:00,6/2/2020
119,Belgium,NonEssentialShopsPartial,2020-10-19T00:00:00,11/1/2020
120,Belgium,NonEssentialShopsPartial,2020-12-01T00:00:00,NA
121,Belgium,OutdoorOver500,2020-07-01T00:00:00,11/1/2020
122,Belgium,OutdoorOver500,2021-10-28T00:00:00,NA
123,Belgium,PlaceOfWorship,2020-03-13T00:00:00,6/7/2020
124,Belgium,PlaceOfWorshipPartial,2020-06-08T00:00:00,10/5/2020
125,Belgium,PlaceOfWorshipPartial,2021-02-21T00:00:00,NA
126,Belgium,PrivateGatheringRestrictions,2020-03-18T00:00:00,6/30/2020
127,Belgium,PrivateGatheringRestrictions,2020-10-06T00:00:00,3/7/2021
128,Belgium,PrivateGatheringRestrictions,2021-03-20T00:00:00,4/25/2021
129,Belgium,PrivateGatheringRestrictions,2021-06-27T00:00:00,9/1/2021
130,Belgium,PrivateGatheringRestrictionsPartial,2021-03-08T00:00:00,3/19/2021
131,Belgium,PrivateGatheringRestrictionsPartial,2021-04-26T00:00:00,6/26/2021
132,Belgium,PrivateGatheringRestrictionsPartial,2021-11-20T00:00:00,NA
133,Belgium,QuarantineForInternationalTravellers,2020-07-01T00:00:00,NA
134,Belgium,RegionalStayHomeOrderPartial,2020-07-28T00:00:00,8/26/2020
135,Belgium,RestaurantsCafes,2020-03-13T00:00:00,6/7/2020
136,Belgium,RestaurantsCafes,2020-10-19T00:00:00,4/25/2021
137,Belgium,RestaurantsCafesPartial,2020-06-08T00:00:00,10/18/2020
138,Belgium,RestaurantsCafesPartial,2021-04-26T00:00:00,9/1/2021
139,Belgium,RestaurantsCafesPartial,2021-10-28T00:00:00,NA
140,Belgium,SocialCircle,2020-03-18T00:00:00,6/8/2021
141,Belgium,StayHomeGenPartial,2020-05-10T00:00:00,8/31/2020
142,Belgium,StayHomeOrder,2020-03-18T00:00:00,5/9/2020
143,Belgium,StayHomeOrderPartial,2020-10-16T00:00:00,5/7/2021
144,Belgium,Teleworking,2020-03-10T00:00:00,6/7/2020
145,Belgium,Teleworking,2020-10-19T00:00:00,NA
146,Belgium,TeleworkingPartial,2020-06-08T00:00:00,10/18/2020
147,Bulgaria,AdaptationOfWorkplace,2020-10-01T00:00:00,4/30/2021
148,Bulgaria,BanOnAllEvents,2020-03-08T00:00:00,5/14/2020
149,Bulgaria,BanOnAllEventsPartial,2020-05-15T00:00:00,6/30/2020
150,Bulgaria,ClosDaycare,2020-03-13T00:00:00,5/21/2020
151,Bulgaria,ClosDaycare,2020-11-27T00:00:00,1/3/2021
152,Bulgaria,ClosDaycare,2021-03-22T00:00:00,3/31/2021
153,Bulgaria,ClosDaycarePartial,2020-05-22T00:00:00,6/14/2020
154,Bulgaria,ClosHigh,2020-03-13T00:00:00,5/31/2020
155,Bulgaria,ClosHighPartial,2020-06-01T00:00:00,5/31/2021
156,Bulgaria,ClosHighPartial,2021-10-21T00:00:00,NA
157,Bulgaria,ClosPrim,2020-03-13T00:00:00,9/14/2020
158,Bulgaria,ClosPrim,2020-11-27T00:00:00,1/3/2021
159,Bulgaria,ClosPrim,2021-03-22T00:00:00,3/31/2021
160,Bulgaria,ClosPrimPartial,2021-10-21T00:00:00,NA
161,Bulgaria,ClosPubAny,2020-03-13T00:00:00,5/17/2020
162,Bulgaria,ClosPubAnyPartial,2020-05-18T00:00:00,6/14/2020
163,Bulgaria,ClosPubAnyPartial,2020-10-29T00:00:00,NA
164,Bulgaria,ClosSec,2020-03-13T00:00:00,9/14/2020
165,Bulgaria,ClosSecPartial,2020-10-29T00:00:00,5/31/2021
166,Bulgaria,ClosSecPartial,2021-10-21T00:00:00,NA
167,Bulgaria,EntertainmentVenues,2020-03-13T00:00:00,5/17/2020
168,Bulgaria,EntertainmentVenuesPartial,2020-11-14T00:00:00,NA
169,Bulgaria,GymsSportsCentres,2020-03-13T00:00:00,5/17/2020
170,Bulgaria,GymsSportsCentres,2021-03-22T00:00:00,3/31/2021
171,Bulgaria,GymsSportsCentresPartial,2020-05-18T00:00:00,6/14/2020
172,Bulgaria,GymsSportsCentresPartial,2020-11-27T00:00:00,3/21/2021
173,Bulgaria,GymsSportsCentresPartial,2021-04-01T00:00:00,NA
174,Bulgaria,MasksMandatoryAllSpaces,2020-03-30T00:00:00,3/31/2020
175,Bulgaria,MasksMandatoryAllSpaces,2020-04-12T00:00:00,4/30/2020
176,Bulgaria,MasksMandatoryClosedSpaces,2020-05-01T00:00:00,NA
177,Bulgaria,MassGather50,2020-03-08T00:00:00,5/14/2020
178,Bulgaria,MassGather50Partial,2020-05-15T00:00:00,6/30/2020
179,Bulgaria,MassGatherAll,2020-03-08T00:00:00,3/12/2020
180,Bulgaria,MassGatherAllPartial,2020-03-13T00:00:00,6/30/2020
181,Bulgaria,NonEssentialShops,2020-03-13T00:00:00,5/17/2020
182,Bulgaria,NonEssentialShops,2020-11-27T00:00:00,1/31/2021
183,Bulgaria,NonEssentialShops,2021-03-22T00:00:00,3/31/2021
184,Bulgaria,NonEssentialShopsPartial,2021-10-21T00:00:00,NA
185,Bulgaria,PrivateGatheringRestrictions,2020-03-08T00:00:00,6/30/2020
186,Bulgaria,PrivateGatheringRestrictions,2020-11-27T00:00:00,5/31/2021
187,Bulgaria,PrivateGatheringRestrictions,2021-09-07T00:00:00,NA
188,Bulgaria,QuarantineForInternationalTravellers,2020-03-17T00:00:00,7/27/2020
189,Bulgaria,QuarantineForInternationalTravellers,2020-08-01T00:00:00,11/30/2020
190,Bulgaria,QuarantineForInternationalTravellersPartial,2020-07-28T00:00:00,7/31/2020
191,Bulgaria,QuarantineForInternationalTravellersPartial,2020-12-01T00:00:00,NA
192,Bulgaria,RestaurantsCafes,2020-03-13T00:00:00,5/31/2020
193,Bulgaria,RestaurantsCafes,2020-11-27T00:00:00,2/28/2021
194,Bulgaria,RestaurantsCafesPartial,2020-10-29T00:00:00,11/26/2020
195,Bulgaria,RestaurantsCafesPartial,2021-03-01T00:00:00,NA
196,Bulgaria,StayHomeGen,2020-02-24T00:00:00,3/11/2020
197,Bulgaria,Teleworking,2020-03-13T00:00:00,3/29/2020
198,Bulgaria,TeleworkingPartial,2020-11-14T00:00:00,4/30/2021
199,Bulgaria,TeleworkingPartial,2021-08-20T00:00:00,NA
200,Croatia,AdaptationOfWorkplacePartial,2020-11-28T00:00:00,NA
201,Croatia,BanOnAllEvents,2020-03-19T00:00:00,5/4/2020
202,Croatia,ClosDaycare,2020-03-16T00:00:00,5/10/2020
203,Croatia,ClosHigh,2020-03-16T00:00:00,6/17/2020
204,Croatia,ClosPrim,2020-03-16T00:00:00,5/10/2020
205,Croatia,ClosPrimPartial,2020-05-11T00:00:00,6/17/2020
206,Croatia,ClosPubAnyPartial,2020-03-19T00:00:00,NA
207,Croatia,ClosSec,2020-03-16T00:00:00,6/17/2020
208,Croatia,ClosureOfPublicTransport,2020-03-22T00:00:00,4/27/2020
209,Croatia,EntertainmentVenues,2020-03-19T00:00:00,5/28/2020
210,Croatia,EntertainmentVenuesPartial,2020-11-28T00:00:00,NA
211,Croatia,GymsSportsCentres,2020-03-19T00:00:00,5/11/2020
212,Croatia,GymsSportsCentres,2020-11-28T00:00:00,2/14/2021
213,Croatia,GymsSportsCentresPartial,2021-02-15T00:00:00,NA
214,Croatia,IndoorOver100,2021-05-28T00:00:00,11/5/2021
215,Croatia,IndoorOver50,2020-05-05T00:00:00,5/27/2021
216,Croatia,IndoorOver50,2021-11-06T00:00:00,NA
217,Croatia,MasksMandatoryAllSpaces,2020-10-25T00:00:00,7/2/2021
218,Croatia,MasksMandatoryAllSpacesPartial,2021-07-03T00:00:00,NA
219,Croatia,MasksMandatoryClosedSpaces,2020-04-24T00:00:00,10/24/2020
220,Croatia,MassGather50,2020-03-19T00:00:00,5/27/2021
221,Croatia,MassGather50Partial,2021-11-06T00:00:00,NA
222,Croatia,MassGatherAll,2020-03-19T00:00:00,5/27/2021
223,Croatia,MassGatherAllPartial,2021-05-28T00:00:00,NA
224,Croatia,NonEssentialShopsPartial,2020-03-19T00:00:00,5/11/2020
225,Croatia,OutdoorOver100,2021-05-28T00:00:00,NA
226,Croatia,OutdoorOver50,2020-05-05T00:00:00,10/26/2020
227,Croatia,OutdoorOver50,2020-11-28T00:00:00,5/27/2021
228,Croatia,PrivateGatheringRestrictions,2020-03-20T00:00:00,NA
229,Croatia,QuarantineForInternationalTravellersPartial,2020-05-11T00:00:00,NA
230,Croatia,RestaurantsCafes,2020-03-19T00:00:00,5/11/2020
231,Croatia,RestaurantsCafes,2020-11-28T00:00:00,2/28/2021
232,Croatia,RestaurantsCafesPartial,2020-05-12T00:00:00,11/27/2020
233,Croatia,RestaurantsCafesPartial,2021-03-01T00:00:00,NA
234,Croatia,StayHomeOrder,2020-03-23T00:00:00,5/10/2020
235,Croatia,StayHomeRiskG,2020-03-03T00:00:00,NA
236,Croatia,Teleworking,2020-03-19T00:00:00,5/27/2020
237,Croatia,TeleworkingPartial,2020-11-28T00:00:00,NA
238,Cyprus,BanOnAllEvents,2020-03-10T00:00:00,6/24/2020
239,Cyprus,BanOnAllEventsPartial,2020-11-05T00:00:00,5/16/2021
240,Cyprus,ClosDaycare,2020-03-10T00:00:00,6/9/2020
241,Cyprus,ClosHigh,2020-03-10T00:00:00,5/11/2020
242,Cyprus,ClosHigh,2020-12-14T00:00:00,5/9/2021
243,Cyprus,ClosHighPartial,2021-09-03T00:00:00,NA
244,Cyprus,ClosPrim,2020-03-10T00:00:00,5/21/2020
245,Cyprus,ClosPrim,2021-01-10T00:00:00,2/7/2021
246,Cyprus,ClosPubAny,2020-03-13T00:00:00,5/3/2020
247,Cyprus,ClosPubAnyPartial,2020-05-04T00:00:00,6/29/2020
248,Cyprus,ClosPubAnyPartial,2020-11-05T00:00:00,NA
249,Cyprus,ClosSec,2020-03-10T00:00:00,5/10/2020
250,Cyprus,ClosSec,2020-12-14T00:00:00,2/7/2021
251,Cyprus,ClosSecPartial,2020-05-11T00:00:00,5/21/2020
252,Cyprus,ClosSecPartial,2021-02-08T00:00:00,3/31/2021
253,Cyprus,ClosureOfPublicTransportPartial,2021-10-30T00:00:00,NA
254,Cyprus,EntertainmentVenues,2020-03-16T00:00:00,5/20/2020
255,Cyprus,EntertainmentVenues,2020-12-11T00:00:00,2/7/2021
256,Cyprus,EntertainmentVenues,2021-04-26T00:00:00,5/9/2021
257,Cyprus,EntertainmentVenuesPartial,2020-05-21T00:00:00,6/29/2020
258,Cyprus,EntertainmentVenuesPartial,2021-02-08T00:00:00,4/25/2021
259,Cyprus,EntertainmentVenuesPartial,2021-05-10T00:00:00,NA
260,Cyprus,GymsSportsCentres,2020-03-13T00:00:00,5/3/2020
261,Cyprus,GymsSportsCentres,2021-01-08T00:00:00,3/31/2021
262,Cyprus,GymsSportsCentres,2021-04-26T00:00:00,5/9/2021
263,Cyprus,GymsSportsCentresPartial,2020-05-04T00:00:00,6/13/2020
264,Cyprus,GymsSportsCentresPartial,2021-05-10T00:00:00,NA
265,Cyprus,HotelsOtherAccommodation,2020-03-16T00:00:00,5/3/2020
266,Cyprus,HotelsOtherAccommodationPartial,2020-05-04T00:00:00,6/9/2020
267,Cyprus,HotelsOtherAccommodationPartial,2021-05-17T00:00:00,7/19/2021
268,Cyprus,IndoorOver100,2020-07-12T00:00:00,11/4/2020
269,Cyprus,IndoorOver50,2020-06-25T00:00:00,7/11/2020
270,Cyprus,MasksMandatoryAllSpaces,2020-11-05T00:00:00,NA
271,Cyprus,MasksMandatoryClosedSpaces,2020-05-04T00:00:00,11/4/2020
272,Cyprus,MassGather50,2020-03-10T00:00:00,7/11/2020
273,Cyprus,MassGather50Partial,2020-11-05T00:00:00,5/16/2021
274,Cyprus,MassGatherAll,2020-03-10T00:00:00,11/4/2020
